x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-65.71361111,66.145,51158,PANGNIRTUNG A,NU,NUNAVUT,CAN,660842000,-654249000,EST,24.1,2403051,YXP,,Aviation-Staffed,,,,NAVCAN,NAV Canada,3/5/2013 10:00,6/7/2022 12:30,3/5/2013 10:00,6/7/2022 12:30,,,,,N,N,Y
-64.47972222,48.77527778,51297,GASPE A,QC,QUEBEC,CAN,484631000,-642847000,EST,34.1,7052601,YGP,71188,Aviation-Staffed,,,,NAVCAN,NAV Canada,3/12/2013 9:00,6/7/2022 12:30,3/12/2013 9:00,6/7/2022 12:30,3/14/2013 0:00,6/7/2022 0:00,,,Y,N,Y
-79.63055556,43.67666667,51459,TORONTO INTL A,ON,ONTARIO,CAN,434036000,-793750000,EST,173.4,6158731,YYZ,71624,Aviation-Staffed,,,,NAVCAN,NAV Canada,6/11/2013 9:00,6/7/2022 12:30,6/11/2013 9:00,6/7/2022 12:30,6/13/2013 0:00,6/7/2022 0:00,,,Y,N,Y
-78.75833333,51.47333333,52081,WASKAGANISH A,QC,QUEBEC,CAN,512824000,-784530000,EST,24.1,7098896,YKQ,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2/6/2014 14:00,6/7/2022 12:30,2/6/2014 14:00,6/7/2022 12:30,,,,,N,N,Y
-82.56666667,45.88333333,4209,GORE BAY A,ON,ONTARIO,CAN,455300000,-823400000,EST,193.5,6092925,YZE,,N/A,C,1,4,,,1/1/1947 0:00,3/31/2006 0:00,1/1/1953 0:00,8/29/2005 12:00,7/1/1947 0:00,3/31/2006 0:00,1/1/1947 0:00,3/1/2006 0:00,Y,N,Y
-79.395,43.62861111,5085,TORONTO ISLAND A,ON,ONTARIO,CAN,433743000,-792342000,EST,76.5,6158665,,71265,N/A,C,1,4,,,1/1/1957 0:00,3/31/2006 0:00,2/6/1957 8:00,3/27/2006 15:00,5/1/1957 0:00,3/31/2006 0:00,1/1/1957 0:00,3/1/2006 0:00,Y,N,Y
-72.26666667,48.51666667,5934,ROBERVAL A,QC,QUEBEC,CAN,483100000,-721600000,EST,178.6,7066685,YRJ,71728,Aviation-Staffed,A,1,1,,,1/1/1957 0:00,3/6/2014 13:00,1/1/1958 0:00,3/6/2014 13:00,10/1/1957 0:00,3/5/2014 0:00,1/1/1957 0:00,12/1/2005 0:00,Y,Y,Y
-74.62416861,47.92222444,5966,PARENT,QC,QUEBEC,CAN,475520008,-743727007,EST,444.7,7075800,WPK,71726,Climate-Auto,F,1,7,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1/1/1943 0:00,6/7/2022 12:30,1/1/1953 7:00,6/7/2022 12:30,7/1/1943 0:00,6/7/2022 0:00,1/1/1943 0:00,12/1/1978 0:00,Y,N,Y
-85.44333333,54.98805556,52878,PEAWANUCK A,ON,ONTARIO,CAN,545917000,-852636000,EST,52.7,6016298,YPO,,Aviation-Auto,,,,NAVCAN,NAV Canada,11/6/2014 16:00,6/7/2022 12:30,11/6/2014 16:00,6/7/2022 12:30,10/29/2018 0:00,6/7/2022 0:00,,,Y,N,Y
-76.59666667,44.22583333,52985,KINGSTON A,ON,ONTARIO,CAN,441333000,-763548000,EST,92.4,6104152,YGK,,Aviation-Auto,,,,NAVCAN,NAV Canada,10/23/2014 14:00,6/7/2022 12:30,10/23/2014 14:00,6/7/2022 12:30,10/29/2018 0:00,6/7/2022 0:00,,,Y,N,Y
